method,split,record_type,seed,dataset_id,N_total,N_valid,MeanOverOz,delta_vs_NVP,policy45_regret_bytes,oracle_recovery,top1_oracle_hit,top5_oracle_hit,median_dataset_delta_vs_NVP,positive_dataset_count,negative_dataset_count,leave_LLVM_Stress_out_macro_delta_vs_NVP,source_artifact_path
Direct MambaNVP,validation,dataset_macro_seed,3,,4488,4488,0.06240116389092171,-0.00036984564378925167,8.162210338680927,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,anghabench-v1,,,0.040052006756403746,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,blas-v0,,,0.025231804718977763,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,clgen-v0,,,0.08487561613429469,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,csmith-v0,,,0.24460999285549453,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,github-v0,,,0.010032603498614295,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,linux-v0,,,0.00250869011310894,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,llvm-stress-v0,,,-0.05597128699029385,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,opencv-v0,,,0.05181622652448666,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,poj104-v1,,,0.19224105042545026,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,tensorflow-v0,,,0.03062718762564236,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_3seed,,,4488,4488,0.06211450015684102,-0.0006565093778699363,7.702688651218064,0.802133453534081,0.6570112893642305,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_seed,1,,4488,4488,0.06313043252765024,0.0003594229929392845,7.494429590017825,,0.6579768270944741,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_seed,2,,4488,4488,0.06074945034704312,-0.0020215591876678388,7.492869875222817,,0.6590909090909091,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_seed,3,,4488,4488,0.062463617595829704,-0.0003073919388812546,8.120766488413548,,0.6539661319073083,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
PA-MambaNVP,validation,dataset_macro_3seed,,,4488,4488,0.06771170961823382,0.0049407000835228615,6.9505347593582885,0.8744146269168498,0.6695632798573975,0.88732917409388,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_macro_seed,1,,4488,4488,0.06764865274412538,0.004877643209414417,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_macro_seed,2,,4488,4488,0.0668872372924749,0.004116227757763935,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_macro_seed,3,,4488,4488,0.06859923881810118,0.005828229283390218,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,anghabench-v1,,,0.038522321061738814,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,blas-v0,,,0.027181621384476776,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,clgen-v0,,,0.08800857839028253,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,csmith-v0,,,0.24332161309031375,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,github-v0,,,0.010418146473052439,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,linux-v0,,,-0.0020450149197475125,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,llvm-stress-v0,,,-0.007422283685803045,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,opencv-v0,,,0.05436890157876173,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,poj104-v1,,,0.19194908476539854,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_3seed,,tensorflow-v0,,,0.03281412804386405,,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
NVP,final/OOD,dataset_macro_3seed,,,4683,4679,0.08715469206982522,0.0,,0.828587504419934,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_macro_seed,1,,4683,4679,0.08781183536807133,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_macro_seed,2,,4683,4679,0.08752695928331179,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_macro_seed,3,,4683,4679,0.08612528155809254,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,anghabench-v1,1000,999,0.03692404527914909,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,blas-v0,29,29,0.011347070952616006,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,cbench-v1,11,11,0.1879895156064374,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,chstone-v0,12,12,0.09213995834981135,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,clgen-v0,150,150,0.10109631238884083,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,csmith-v0,48,48,0.25839801826970404,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,github-v0,1000,1000,0.00720394713816724,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,linux-v0,1000,1000,0.003041935497720922,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,llvm-stress-v0,150,147,-0.044866218250611815,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,mibench-v1,40,40,0.06347396922525174,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,npb-v0,121,121,0.22035336294631327,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,opencv-v0,32,32,0.04105173737972869,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,poj104-v1,1000,1000,0.18685899119157037,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
NVP,final/OOD,dataset_3seed,,tensorflow-v0,90,90,0.05515304300285386,0.0,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_macro_3seed,,,4683,4679,0.08462666303481921,-0.002528029035006013,,0.8045533047747953,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_macro_seed,1,,4683,4679,0.08493805013175956,-0.0028737852363117655,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_macro_seed,2,,4683,4679,0.08210069016603284,-0.005426269117278948,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_macro_seed,3,,4683,4679,0.08684124880666519,0.0007159672485726465,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,anghabench-v1,1000,999,0.03559025891112549,-0.0013337863680236012,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,blas-v0,29,29,0.005395864567356173,-0.005951206385259833,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,cbench-v1,11,11,0.1880875805894043,9.806498296691113e-05,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,chstone-v0,12,12,0.09584603763862969,0.0037060792888183314,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,clgen-v0,150,150,0.10273785487757854,0.0016415424887377128,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,csmith-v0,48,48,0.24407285404893972,-0.014325164220764325,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,github-v0,1000,1000,0.006494802187449786,-0.0007091449507174545,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,linux-v0,1000,1000,0.0024323787662984975,-0.0006095567314224246,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,llvm-stress-v0,150,147,-0.0597144820073837,-0.014848263756771882,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,mibench-v1,40,40,0.06348549226301979,1.1523037768051969e-05,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,npb-v0,121,121,0.2232265050011477,0.0028731420548344377,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,opencv-v0,32,32,0.0360665130626824,-0.004985224317046288,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,poj104-v1,1000,1000,0.1872310699362957,0.00037207874472533486,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
Mamba,final/OOD,dataset_3seed,,tensorflow-v0,90,90,0.05382055264492467,-0.001332490357929192,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_macro_3seed,,,4683,4679,0.08199445421951396,-0.005160237850311264,,0.7795286585785977,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
