replicate,pa_dataset_macro_mean_over_oz,nvp_dataset_macro_mean_over_oz,paired_dataset_macro_delta
35,0.09180407097664814,0.0893277065535144,0.002476364423133745
36,0.09261914001869742,0.08868289198607293,0.00393624803262449
37,0.09636300374214607,0.0917593168573123,0.004603686884833771
38,0.10559297360002991,0.10058525272638055,0.0050077208736493545
39,0.08777273087809409,0.08637807362209296,0.0013946572560011306
40,0.08736276123492076,0.08556036761918269,0.001802393615738071
41,0.08695532431309537,0.08880807392149206,-0.0018527496083966949
42,0.08093487718166917,0.07662472446712747,0.004310152714541701
43,0.08830911398815827,0.08467736106729729,0.0036317529208609867
44,0.08901721869834897,0.08637266698760156,0.0026445517107474142
45,0.09667960020626289,0.09490854874921636,0.0017710514570465213
46,0.07931084400377597,0.0763087677085351,0.003002076295240866
47,0.09386204973761643,0.08919761191221955,0.004664437825396883
48,0.08985365793060635,0.08796564387879532,0.0018880140518110211
49,0.09246844638928116,0.08970899357743571,0.0027594528118454476
50,0.07674804872654244,0.07311010233051841,0.003637946396024022
51,0.09727836533953493,0.09149721799772233,0.005781147341812606
52,0.09281352325098455,0.09258396662943033,0.00022955662155421663
53,0.09778204895438677,0.09440442474291254,0.0033776242114742366
54,0.09885317232236726,0.09611727498930595,0.0027358973330613157
55,0.0866772362491976,0.08647667069328932,0.00020056555590827752
56,0.08180475452933945,0.07995678748604847,0.0018479670432909878
57,0.09231427249467042,0.09100352452540908,0.0013107479692613389
58,0.08930868012334049,0.08555606283766896,0.003752617285671528
59,0.08155350026548384,0.0851978312132384,-0.0036443309477545566
60,0.10869215413276184,0.10648064926696321,0.0022115048657986303
61,0.09474125694754647,0.09433995376507488,0.00040130318247158514
62,0.09060616216559697,0.08317141384948121,0.0074347483161157635
63,0.10277507107605321,0.1018334753108969,0.0009415957651563167
64,0.08880240185629158,0.08436231036452871,0.004440091491762874
65,0.07496458361384134,0.07639651722171237,-0.0014319336078710276
66,0.08380934229631848,0.08315665220882422,0.0006526900874942593
67,0.08869165270912432,0.0871198420087979,0.0015718107003264287
68,0.08891336544724812,0.0865044292016918,0.0024089362455563257
69,0.0852032535191108,0.08336226726743884,0.0018409862516719638
70,0.08411188965014516,0.08180068658218526,0.0023112030679598994
71,0.10052937390714767,0.09712035706551353,0.003409016841634138
72,0.10113880249329468,0.09656787590831342,0.004570926584981261
73,0.08265893026304146,0.07993362607028615,0.0027253041927553096
74,0.08892069959442626,0.08692194820784403,0.0019987513865822315
75,0.08814180784689103,0.08395606003733126,0.00418574780955977
76,0.08569456635744954,0.08277676649091503,0.0029177998665345095
77,0.08940620893777972,0.08716631006386084,0.002239898873918872
78,0.09157336764893374,0.08823605959498022,0.0033373080539535194
79,0.08486558094052023,0.08565173455666501,-0.0007861536161447857
80,0.0847733445318311,0.08272364314203727,0.002049701389793823
81,0.089980190836044,0.08900967305945803,0.0009705177765859663
82,0.07749841951706538,0.07525706579696105,0.002241353720104325
83,0.091397341316951,0.08753074458019222,0.003866596736758779
84,0.08283897590249932,0.08327943802688775,-0.0004404621243884327
85,0.07253316854040498,0.07680506676419072,-0.004271898223785736
86,0.0905825276980348,0.08873451226432058,0.0018480154337142257
87,0.08577271267690512,0.08565981497956099,0.00011289769734412758
88,0.09489523741459041,0.09260722355662647,0.0022880138579639414
89,0.07820759727270016,0.07689077622060164,0.0013168210520985157
90,0.09314557299616984,0.0903794101672456,0.0027661628289242374
91,0.07580542203260478,0.07593022133191356,-0.00012479929930878098
92,0.09518867592444077,0.09210413340016681,0.003084542524273967
93,0.08608099353859218,0.08494428220737903,0.0011367113312131527
94,0.08657453790099916,0.08645178355091925,0.0001227543500799122
95,0.0882214148168476,0.08820008708027206,2.1327736575538214e-05
96,0.08783489647505811,0.08593303362808372,0.0019018628469743976
97,0.09099628073649697,0.08689208129429057,0.004104199442206399
98,0.08564750032462236,0.08333469459187788,0.0023128057327444773
99,0.09305875936767734,0.09329062569183377,-0.00023186632415643504
100,0.08833828475441863,0.08269667213056371,0.005641612623854916
101,0.09020865402499595,0.08900751651440128,0.0012011375105946687
102,0.09418186453048899,0.0910940236729427,0.0030878408575462923
103,0.08752083178972261,0.0865140769629261,0.0010067548267965187
104,0.09021883962659355,0.08520452480044409,0.00501431482614946
105,0.09802094136097231,0.0973163812653287,0.000704560095643611
106,0.08916216926450024,0.0850244429156563,0.004137726348843934
107,0.09354442553456553,0.09367530403372179,-0.00013087849915625893
108,0.08915236134202431,0.08589358596382331,0.0032587753782010037
109,0.09427834810575178,0.09045638286027194,0.0038219652454798414
110,0.08331629601164085,0.08098931728364268,0.002326978727998169
111,0.07998682005289409,0.07908519347396957,0.000901626578924522
112,0.08619153754402988,0.0838491632487458,0.0023423742952840693
113,0.08972605813776748,0.08761128026882357,0.002114777868943901
114,0.0895530504624553,0.08920935479277461,0.0003436956696806909
115,0.08737645623310028,0.08150890271084107,0.005867553522259206
116,0.08616114347715316,0.0843463822258523,0.0018147612513008532
117,0.09387172600322381,0.09140468836196898,0.0024670376412548323
118,0.08171084396394171,0.07995303465985844,0.0017578093040832715
119,0.08552891915066252,0.08452707821604366,0.0010018409346188584
120,0.09694627538833478,0.09319698606458024,0.00374928932375454
121,0.09196792869143633,0.09127602943325952,0.0006918992581768091
122,0.08992078932986548,0.08330399110000286,0.006616798229862622
123,0.08605964262944331,0.08443204943737187,0.0016275931920714387
124,0.09038238242047934,0.08694935395131734,0.0034330284691620055
125,0.0903469695940618,0.08614308824865394,0.004203881345407862
126,0.09437933181515284,0.08511701003460342,0.00926232178054942
127,0.08215138490244911,0.08279292827187161,-0.0006415433694225009
128,0.10242821013696986,0.10065301861973545,0.0017751915172344035
129,0.07916844810541673,0.07827451549544609,0.0008939326099706435
